metric,value,step
loss,1.0818113088607788,0.0
loss,0.9390159845352173,1.0
loss,0.9077819585800171,2.0
loss,0.8654184341430664,3.0
loss,0.7885967493057251,4.0
loss,0.7772289514541626,5.0
loss,0.784534215927124,6.0
loss,0.7314653396606445,7.0
loss,0.8312392234802246,8.0
loss,0.7392110824584961,9.0
loss,0.7688136696815491,10.0
loss,0.7722172141075134,11.0
loss,0.7556938529014587,12.0
loss,0.7976633310317993,13.0
loss,0.8201520442962646,14.0
loss,0.7616093158721924,15.0
loss,0.7996236681938171,16.0
loss,0.7960480451583862,17.0
loss,0.7627114057540894,18.0
loss,0.8252675533294678,19.0
loss,0.7814369201660156,20.0
loss,0.7681992650032043,21.0
loss,0.8157749176025391,22.0
loss,0.8548088073730469,23.0
loss,0.81186443567276,24.0
loss,0.7779386639595032,25.0
loss,0.7916799187660217,26.0
loss,0.811633288860321,27.0
loss,0.8697351217269897,28.0
loss,0.796394944190979,29.0
loss,0.7675060033798218,30.0
loss,0.7672054767608643,31.0
loss,0.815220296382904,32.0
loss,0.7575919032096863,33.0
loss,0.8232165575027466,34.0
loss,0.8277912139892578,35.0
loss,0.7362620830535889,36.0
loss,0.7715057730674744,37.0
loss,0.7839293479919434,38.0
loss,0.7276198863983154,39.0
loss,0.8312344551086426,40.0
loss,0.7451187968254089,41.0
loss,0.7602843046188354,42.0
loss,0.7593564391136169,43.0
loss,0.7447165250778198,44.0
loss,0.7870522737503052,45.0
loss,0.8151329755783081,46.0
loss,0.7590398192405701,47.0
loss,0.7994681596755981,48.0
loss,0.7919337153434753,49.0
loss,0.7619774341583252,50.0
loss,0.821704626083374,51.0
loss,0.7782017588615417,52.0
loss,0.7656757831573486,53.0
loss,0.8182098865509033,54.0
loss,0.8507137298583984,55.0
loss,0.8117660284042358,56.0
loss,0.7768899202346802,57.0
loss,0.7907814979553223,58.0
loss,0.8119828701019287,59.0
loss,0.8689601421356201,60.0
loss,0.7959781885147095,61.0
loss,0.7666820287704468,62.0
loss,0.7650814652442932,63.0
loss,0.8148394227027893,64.0
loss,0.7580207586288452,65.0
loss,0.8232993483543396,66.0
loss,0.8280947208404541,67.0
loss,0.734654426574707,68.0
loss,0.7713121175765991,69.0
loss,0.7846424579620361,70.0
loss,0.727069079875946,71.0
loss,0.8318296670913696,72.0
loss,0.7457876205444336,73.0
loss,0.7601848244667053,74.0
loss,0.7596955895423889,75.0
loss,0.7448990941047668,76.0
loss,0.785997211933136,77.0
loss,0.8149328231811523,78.0
loss,0.7576617002487183,79.0
loss,0.8002314567565918,80.0
loss,0.7902659177780151,81.0
loss,0.7616487741470337,82.0
loss,0.822175145149231,83.0
loss,0.777995228767395,84.0
loss,0.7649804353713989,85.0
loss,0.8178267478942871,86.0
loss,0.8503754138946533,87.0
loss,0.8112706542015076,88.0
loss,0.7776530981063843,89.0
loss,0.7916579246520996,90.0
loss,0.812371015548706,91.0
loss,0.8686456680297852,92.0
loss,0.7976140379905701,93.0
loss,0.7661685943603516,94.0
loss,0.764423131942749,95.0
loss,0.8138453364372253,96.0
loss,0.7580249905586243,97.0
loss,0.8241965174674988,98.0
loss,0.8268118500709534,99.0
loss,0.7350976467132568,100.0
loss,0.7711565494537354,101.0
loss,0.7862082719802856,102.0
loss,0.7264872193336487,103.0
loss,0.8306084275245667,104.0
loss,0.7480968832969666,105.0
loss,0.7593488693237305,106.0
loss,0.7594116926193237,107.0
loss,0.7449407577514648,108.0
loss,0.7853357195854187,109.0
loss,0.8147035837173462,110.0
loss,0.757732629776001,111.0
loss,0.8006185293197632,112.0
loss,0.788195013999939,113.0
loss,0.7628356218338013,114.0
loss,0.8209220767021179,115.0
loss,0.7773205041885376,116.0
loss,0.7643693685531616,117.0
loss,0.8184627294540405,118.0
loss,0.8497333526611328,119.0
loss,0.8109254837036133,120.0
loss,0.7764707803726196,121.0
loss,0.7907182574272156,122.0
loss,0.8122841119766235,123.0
loss,0.8693325519561768,124.0
loss,0.7964708209037781,125.0
loss,0.7671433687210083,126.0
loss,0.763527512550354,127.0
loss,0.8136545419692993,128.0
loss,0.758738100528717,129.0
loss,0.8215364217758179,130.0
loss,0.8258548974990845,131.0
